Brand,Model,Price,Ratings,Capacity(kg),Machine Type,Load Type,Warranty(Years)
MOTOROLA,rating Midnight Series,10090,4.3,8.0,Semi Automatic,Top Load,2.0
realme,TechLife Touch Screen Panel with Anti-Bacterial (+ Wash) T...,14290,4.1,8.5,Fully Automatic,,
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
Voltas,Beko by A Tata Product with In-built Hea...,22625,4.1,7.0,Fully Automatic,Front Load,3.0
Godrej,Tri- Roto Pulsator Spin Shower Drying at 1400 RPM Speed Washing...,9590,4.3,7.0,Semi Automatic,Top Load,2.0
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14590,4.2,6.5,Fully Automatic,Top Load,2.0
Whirlpool,NA,13190,3.9,9.0,Semi Automatic,Top Load,2.0
Whirlpool,with Auto Restart End of Cycle Buzzer Lint Filter and Collar Scrubber Semi Aut...,13899,4.4,8.0,,,4.0
Voltas,Beko by A Tata Product Multicolor,12432,4.3,9.5,Semi Automatic,Top Load,
MOTOROLA,Intelligent Smart Programs,14690,4.2,9.0,Fully Automatic,Top Load,2.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
Voltas,Beko by A Tata Product Multicolor,10976,4.3,8.5,Semi Automatic,Top Load,
Haier,Toughened Glass Anti Bacterial Vortex Pulsator 1300 RPM Spray Function Wash Programs ...,14999,4.3,10.0,,,3.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
MarQ,by Flipkart,11490,4.1,7.5,Fully Automatic,Top Load,
LG,Electronics,12199,4.5,7.5,Semi Automatic,Top Load,2.0
IFB,with Steam Refresh program 9 Swirl Wash Eco Inverter with AI Front...,45850,4.3,10.0,Fully Automatic,,4.0
MarQ,by Flipkart Rating Innowash Range,10490,4.3,9.0,Semi Automatic,Top Load,2.0
LG,NA,15999,4.5,9.5,Semi Automatic,Top Load,2.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
LG,with Roller Jet Pulsator with Soak � Wind Jet Dry and Rat Away (Spin Tub Capacit...,18990,4.5,11.0,,,2.0
Godrej,Aquajet Pulsator Drying at 1400 RPM Speed Spin Shower W...,13990,4.1,10.0,Semi Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Summercool,Maroon,7649,3.8,7.0,Semi Automatic,Top Load,
Haier,with In-built Heater,26350,4.3,10.5,Fully Automatic,Top Load,
Voltas,Beko by A Tata Product with In-built Hea...,22625,4.1,7.0,Fully Automatic,Front Load,3.0
Lloyd,by Havells Toughened Glass Soft Closing Glass Lids 1300 RPM Soak Function 3 Wash Progr...,14490,4.3,8.5,,,2.0
Whirlpool,Magic Clean,14990,4.1,7.0,Fully Automatic,Top Load,2.0
Whirlpool,Magic Clean,14590,4.2,6.5,Fully Automatic,Top Load,2.0
MOTOROLA,Super Steam Technology with In-built Heater B...,22190,4.1,8.0,Fully Automatic,Front Load,2.0
LG,AI Direct Drive Technology Wi-Fi Enabled Steam+ With Wrinkle Care Intelligent & Con...,39990,4.4,9.0,,,2.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
Whirlpool,NA,12990,4.4,9.0,Semi Automatic,Top Load,2.0
Voltas,Beko,10829,4.4,8.0,Semi Automatic,Top Load,1.0
Whirlpool,Maroon,11260,4.4,7.0,Semi Automatic,Top Load,2.0
LG,9/ Washer with Dryer AI Direct Drive Technology Wi-Fi Enabled Steam uce germs & allergens...,48950,4.3,5.0,,,2.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
LG,NA,14995,4.4,8.5,Semi Automatic,Top Load,
Godrej,AI Powe FabriSafe Drum Eco Wash,20990,4.1,6.5,Fully Automatic,Front Load,2.0
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
Whirlpool,NA,12440,4.4,8.0,Semi Automatic,Top Load,2.0
Godrej,Aquajet Pulsator Drying at 1400 RPM Speed Spin Shower W...,13990,4.1,10.0,Semi Automatic,Top Load,2.0
MOTOROLA,Super Steam Technology with In-built Heater B...,22190,4.1,8.0,Fully Automatic,Front Load,2.0
BOSCH,with Vario Pulsator Stain Scrubber & 1360 High RPM Spin Motor Top Lo...,12200,4.2,8.0,Semi Automatic,,2.0
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14990,4.1,7.0,Fully Automatic,Top Load,2.0
Voltas,Beko by A Tata Product,12770,4.3,12.0,Semi Automatic,Top Load,
Haier,Washer Dryer ( Washer / Dryer ) Powe by AI-DBT Direct Drive Technology Wi-Fi...,56999,4.3,11.0,,,
Whirlpool,Magic Clean,14590,4.2,6.5,Fully Automatic,Top Load,2.0
realme,TechLife Star Air Dry Soft Closing Lid,12290,4.2,7.5,Fully Automatic,Top Load,
ONIDA,Hexafin Pulsator Inbuilt Basket 1450 RPM Gre...,10286,4.2,8.0,Semi Automatic,Top Load,2.0
Voltas,Beko by A Tata Product,22999,4.0,14.0,Semi Automatic,Top Load,2.0
ONIDA,Hexafin Pulsator Inbuilt Basket 1450 RPM Gre...,10286,4.2,8.0,Semi Automatic,Top Load,2.0
Sansui,NA,7690,4.2,7.0,Semi Automatic,Top Load,2.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
Whirlpool,NA,12990,4.4,9.0,Semi Automatic,Top Load,2.0
Whirlpool,NA,12440,4.4,8.0,Semi Automatic,Top Load,2.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
Haier,Toughened Glass with Anti Bacterial Vortex Pulsator 1300 RPM Spray Function Wash Progra...,17990,4.3,14.0,,,3.0
Godrej,with In-built Heater,23490,4.0,7.0,Fully Automatic,Front Load,2.0
Voltas,Beko,17890,4.2,9.0,Fully Automatic,Top Load,5.0
Haier,With Ultra Fresh Air Technology Oceanus Wave Steel Drum Balance Clean Pulsator Custom...,24990,4.2,10.5,,,3.0
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
